disease,medicine,cost,annual_cost,symptoms,side_effects,drug_interactions
Sickle Cell Disease,Hydroxyurea,220,2640,pain;fatigue;swelling,nausea;hair loss,antivirals;live vaccines
Thalassemia,Deferasirox,300,3600,fatigue;bone deformities;slow growth,nausea;rash,antacids;NSAIDs
Lymphoma,Rituximab,500,6000,swollen lymph nodes;fever;night sweats,infusion reactions;fatigue,methotrexate;live vaccines
Leukemia,Imatinib,400,4800,fever;weight loss;bleeding,nausea;muscle cramps,acetaminophen;warfarin
Multiple Myeloma,Bortezomib,550,6600,bone pain;fatigue;frequent infections,nausea;neuropathy,acyclovir;NSAIDs
Skin Cancer,Fluorouracil cream,180,2160,lesions;itching;bleeding,skin irritation;redness,none
Breast Cancer,Letrozole,300,3600,lump;skin changes;nipple discharge,joint pain;hot flashes,tamoxifen;antidepressants
Prostate Cancer,Leuprolide,250,3000,urinary issues;pelvic pain;fatigue,hot flashes;mood swings,antidepressants;antihypertensives
Lung Cancer,Cisplatin,400,4800,cough;chest pain;weight loss,nausea;hair loss,NSAIDs;antibiotics
Colon Cancer,Capecitabine,350,4200,abdominal pain;blood in stool;fatigue,nausea;diarrhea,antacids;warfarin
Pancreatic Cancer,Gemcitabine,450,5400,abdominal pain;weight loss;jaundice,nausea;fever,NSAIDs;antibiotics
Ovarian Cancer,Paclitaxel,500,6000,abdominal bloating;pelvic pain;fatigue,nausea;hair loss,antivirals;antibiotics
Cervical Cancer,Cisplatin,400,4800,bleeding;pelvic pain;fatigue,nausea;hair loss,NSAIDs;antibiotics
Bladder Cancer,Mitomycin,420,5040,blood in urine;pelvic pain;frequent urination,nausea;burning,antibiotics;NSAIDs
Kidney Cancer,Sunitinib,480,5760,flank pain;blood in urine;fatigue,nausea;diarrhea,antacids;antibiotics
Thyroid Cancer,Levothyroxine,100,1200,neck lump;hoarseness;fatigue,nervousness;weight loss,antidepressants;calcium
Liver Cancer,Sorafenib,550,6600,abdominal pain;jaundice;weight loss,nausea;diarrhea,NSAIDs;antibiotics
Esophageal Cancer,Fluorouracil,400,4800,swallowing difficulty;chest pain;weight loss,nausea;mouth sores,antacids;warfarin
Stomach Cancer,Capecitabine,350,4200,abdominal pain;nausea;weight loss,diarrhea;fatigue,NSAIDs;antibiotics
Brain Cancer,Temozolomide,500,6000,headache;nausea;seizures,fatigue;hair loss,antivirals;antibiotics
Bone Cancer,Methotrexate,300,3600,bone pain;swelling;fatigue,nausea;liver toxicity,NSAIDs;antibiotics
Testicular Cancer,Bleomycin,450,5400,lump;pain;swelling,nausea;lung toxicity,NSAIDs;antibiotics
Penile Cancer,Fluorouracil cream,180,2160,lesions;itching;bleeding,skin irritation;redness,none
Anal Cancer,Mitomycin,420,5040,bleeding;pain;lump,nausea;burning,antibiotics;NSAIDs
Vaginal Cancer,Cisplatin,400,4800,bleeding;pain;lump,nausea;hair loss,NSAIDs;antibiotics
Uterine Cancer,Paclitaxel,500,6000,bleeding;pelvic pain;fatigue,nausea;hair loss,antivirals;antibiotics
Melanoma,Interferon alpha,480,5760,skin changes;itching;bleeding,flu-like symptoms;fatigue,NSAIDs;antibiotics
Basal Cell Carcinoma,Imiquimod cream,150,1800,lesions;itching;bleeding,skin irritation;redness,none
Squamous Cell Carcinoma,Fluorouracil cream,180,2160,lesions;itching;bleeding,skin irritation;redness,none
Kaposis Sarcoma,Doxorubicin,400,4800,skin lesions;swelling;fatigue,nausea;hair loss,NSAIDs;antibiotics
Asthma,Salbutamol,80,960,wheezing;cough;shortness of breath,tremor;headache,beta-blockers;diuretics
COPD,Tiotropium,120,1440,cough;shortness of breath;fatigue,dry mouth;constipation,antihistamines;anticholinergics
Bronchiectasis,Azithromycin,90,1080,cough;phlegm;chest pain,nausea;diarrhea,antacids;digoxin
Pulmonary Fibrosis,Nintedanib,400,4800,shortness of breath;dry cough;fatigue,nausea;diarrhea,NSAIDs;antibiotics
Sarcoidosis,Prednisone,100,1200,shortness of breath;fatigue;skin lesions,weight gain;mood changes,NSAIDs;diuretics
Pneumonia,Amoxicillin,70,840,cough;fever;chest pain,rash;diarrhea,allopurinol;methotrexate
Tuberculosis,Isoniazid,100,1200,cough;weight loss;night sweats,numbness;liver toxicity,phenytoin;carbamazepine
Lung Abscess,Clindamycin,130,1560,cough;fever;chest pain,nausea;diarrhea,neuromuscular blockers;erythromycin
Pleural Effusion,Furosemide,70,840,shortness of breath;chest pain;cough,dizziness;dehydration,ACE inhibitors;NSAIDs
Pneumothorax,Oxygen therapy,200,2400,chest pain;shortness of breath;rapid breathing,none,none
Pulmonary Hypertension,Sildenafil,150,1800,shortness of breath;fatigue;chest pain,headache;flushing,nitrates;alpha-blockers
Cystic Fibrosis,Pancreatic enzymes,300,3600,cough;weight loss;frequent infections,nausea;abdominal pain,none
Sleep Apnea,CPAP therapy,800,9600,loud snoring;daytime fatigue;gasping,none,none
Respiratory Failure,Mechanical ventilation,1000,12000,shortness of breath;confusion;cyanosis,none,none
ARDS,Supportive care,0,0,shortness of breath;rapid breathing;low oxygen,none,none
Laryngitis,Voice rest,0,0,hoarseness;sore throat;cough,none,none
Tracheitis,Antibiotics,100,1200,cough;fever;stridor,nausea;diarrhea,antacids;warfarin
Bronchiolitis,Saline nebulization,50,600,cough;wheezing;fever,none,none
Whooping Cough,Erythromycin,75,900,severe cough;vomiting;fatigue,nausea;vomiting,warfarin;digoxin
Diphtheria,Antitoxin,300,3600,sore throat;fever;swollen glands,allergic reactions;fever,none
Tetanus,Tetanus immunoglobulin,400,4800,muscle stiffness;spasms;fever,none,none
Pertussis,Azithromycin,90,1080,severe cough;vomiting;fatigue,nausea;diarrhea,antacids;digoxin
Measles,Vitamin A,60,720,fever;rash;cough,nausea;headache,none
Mumps,Supportive care,0,0,swollen glands;fever;headache,none,none
Rubella,Supportive care,0,0,rash;fever;swollen glands,none,none
Chickenpox,Acyclovir,200,2400,rash;fever;itching,nausea;headache,NSAIDs;antibiotics
Smallpox,Supportive care,0,0,fever;rash;fatigue,none,none
Polio,Supportive care,0,0,weakness;fever;stiff neck,none,none
Rabies,Rabies immunoglobulin,500,6000,fever;tingling;hydrophobia,none,none
Zika Virus,Supportive care,0,0,fever;rash;joint pain,none,none
Chikungunya,Paracetamol,30,360,fever;joint pain;rash,nausea;liver stress,aspirin;ibuprofen
Ebola,Supportive care,0,0,fever;bleeding;vomiting,none,none
Marburg Virus,Supportive care,0,0,fever;bleeding;fatigue,none,none
Hantavirus,Supportive care,0,0,fever;muscle pain;shortness of breath,none,none
Yellow Fever,Supportive care,0,0,fever;jaundice;bleeding,none,none
Dengue,Paracetamol,30,360,fever;rash;muscle pain,nausea;liver stress,aspirin;ibuprofen
Malaria,Artemether-Lumefantrine,150,1800,fever;chills;vomiting,nausea;dizziness,quinine;rifampin
Leishmaniasis,Amphotericin B,350,4200,fever;weight loss;skin ulcers,nausea;fever,NSAIDs;antibiotics
Trypanosomiasis,Nifurtimox,300,3600,fever;headache;confusion,nausea;abdominal pain,antacids;antibiotics
Schistosomiasis,Praziquantel,250,3000,abdominal pain;blood in stool;rash,dizziness;nausea,none
Filariasis,Diethylcarbamazine,200,2400,swelling;fever;skin thickening,nausea;headache,none
Ascariasis,Albendazole,60,720,abdominal pain;vomiting;weight loss,nausea;dizziness,none
Hookworm Infection,Mebendazole,50,600,anemia;abdominal pain;diarrhea,nausea;headache,none
Pinworm Infection,Pyrantel pamoate,40,480,itching;restlessness;abdominal pain,nausea;cramps,none
Tapeworm Infection,Niclosamide,70,840,abdominal pain;weight loss;nausea,dizziness;headache,none
Giardiasis,Metronidazole,150,1800,diarrhea;abdominal cramps;fatigue,nausea;metallic taste,warfarin;disulfiram
Amoebiasis,Tinidazole,140,1680,diarrhea;abdominal pain;fever,nausea;headache,warfarin;alcohol
Typhoid,Ciprofloxacin,80,960,fever;abdominal pain;weakness,nausea;diarrhea,warfarin;theophylline
Cholera,Doxycycline,60,720,diarrhea;dehydration;vomiting,sensitivity;headache,antacids;iron
Hepatitis A,Supportive care,0,0,jaundice;fever;fatigue,none,none
Hepatitis B,Tenofovir,200,2400,fatigue;jaundice;abdominal pain,nausea;renal toxicity,acyclovir;didanosine
Hepatitis C,Sofosbuvir,350,4200,fatigue;jaundice;joint pain,headache;insomnia,amiodarone;rifampin
Hepatitis D,Supportive care,0,0,jaundice;abdominal pain;fatigue,none,none
Hepatitis E,Supportive care,0,0,jaundice;fever;nausea,none,none
Liver Cirrhosis,Spironolactone,100,1200,abdominal swelling;jaundice;fatigue,dizziness;high potassium,ACE inhibitors;NSAIDs
Fatty Liver Disease,Vitamin E,60,720,fatigue;abdominal discomfort;jaundice,nausea;headache,anticoagulants;statins
Gallstones,Ursodeoxycholic acid,150,1800,abdominal pain;nausea;vomiting,diarrhea;headache,antacids;cholestyramine
Pancreatitis,Supportive care,0,0,abdominal pain;nausea;fever,none,none
Appendicitis,Surgery,1000,12000,abdominal pain;fever;nausea,none,none
Peritonitis,Cefotaxime,180,2160,abdominal pain;fever;vomiting,nausea;diarrhea,antacids;warfarin
Gastritis,Omeprazole,60,720,abdominal pain;nausea;indigestion,headache;nausea,clopidogrel;diazepam
Peptic Ulcer,Ranitidine,55,660,abdominal pain;nausea;indigestion,dizziness;constipation,ketoconazole;warfarin
GERD,Esomeprazole,70,840,heartburn;acid reflux;chest pain,headache;nausea,clopidogrel;diazepam
IBD,Mesalamine,200,2400,diarrhea;abdominal pain;weight loss,nausea;headache,NSAIDs;antibiotics
Crohn’s Disease,Infliximab,400,4800,diarrhea;abdominal pain;fatigue,infusion reactions;headache,immunosuppressants;NSAIDs
Ulcerative Colitis,Prednisone,100,1200,diarrhea;abdominal pain;blood in stool,weight gain;mood changes,NSAIDs;diuretics
Celiac Disease,Gluten-free diet,0,0,diarrhea;weight loss;fatigue,none,none
Food Poisoning,ORS,20,240,diarrhea;vomiting;abdominal pain,none,none
Lactose Intolerance,Lactase supplements,40,480,bloating;diarrhea;gas,nausea;cramps,none
Irritable Bowel Syndrome,Hyoscine,65,780,abdominal cramps;bloating;diarrhea,dry mouth;blurred vision,antihistamines;tricyclics
Constipation,Lactulose,45,540,hard stools;bloating;straining,flatulence;cramps,antacids;antibiotics
Diarrhea,Loperamide,35,420,loose stools;urgency;cramps,drowsiness;dry mouth,quinidine;ritonavir
Hemorrhoids,Hydrocortisone,50,600,itching;pain;bleeding,skin thinning;burning,none
Anal Fissure,Nifedipine ointment,70,840,pain;bleeding;spasm,headache;dizziness,beta-blockers;diuretics
Rectal Prolapse,Surgery,1000,12000,bulging;bleeding;discomfort,none,none
Colon Polyps,Surveillance,0,0,none;bleeding;discomfort,none,none
Diverticulitis,Metronidazole,150,1800,abdominal pain;fever;constipation,nausea;metallic taste,warfarin;disulfiram
Bowel Obstruction,Surgery,1000,12000,abdominal pain;vomiting;constipation,none,none
Anal Abscess,Incision and drainage,500,6000,pain;swelling;fever,none,none
Pilonidal Cyst,Surgery,800,9600,pain;swelling;discharge,none,none
Hernia,Surgery,1000,12000,bulge;pain;discomfort,none,none
Hydrocele,Surgery,900,10800,scrotal swelling;pain;discomfort,none,none
Varicocele,Surgery,950,11400,scrotal pain;swelling;infertility,none,none
Testicular Torsion,Surgery,1200,14400,severe pain;swelling;nausea,none,none
Epididymitis,Ciprofloxacin,85,1020,scrotal pain;swelling;fever,nausea;diarrhea,warfarin;theophylline
Orchitis,Supportive care,0,0,pain;swelling;fever,none,none
Prostatitis,Ciprofloxacin,85,1020,pelvic pain;urinary issues;fever,nausea;diarrhea,warfarin;theophylline
BPH,Finasteride,100,1200,weak stream;urgency;nocturia,sexual dysfunction;dizziness,testosterone;antidepressants
Prostate Cancer,Leuprolide,250,3000,urinary issues;pelvic pain;fatigue,hot flashes;mood swings,antidepressants;antihypertensives
Penile Cancer,Fluorouracil cream,180,2160,lesions;itching;bleeding,skin irritation;redness,none
Bladder Infection,Nitrofurantoin,80,960,burning urination;urgency;fever,nausea;headache,antacids;quinolones
Kidney Infection,Ciprofloxacin,85,1020,flank pain;fever;chills,nausea;diarrhea,warfarin;theophylline
Interstitial Cystitis,Amitriptyline,120,1440,pelvic pain;urgency;frequency,drowsiness;dry mouth,MAOIs;alcohol
Nephrotic Syndrome,Prednisone,100,1200,swelling;fatigue;foamy urine,weight gain;mood changes,NSAIDs;diuretics
Glomerulonephritis,Cyclophosphamide,300,3600,blood in urine;swelling;high BP,nausea;hair loss,live vaccines;NSAIDs
Kidney Failure,Dialysis,1000,12000,fatigue;swelling;confusion,none,none
Renal Calculi,Tamsulosin,90,1080,flank pain;blood in urine;nausea,dizziness;fatigue,antihypertensives;antifungals
Urinary Retention,Bethanechol,70,840,incomplete urination;discomfort;urgency,nausea;headache,anticholinergics;beta-blockers
Enuresis,Desmopressin,110,1320,bedwetting;nighttime urination;fatigue,headache;nausea,SSRIs;tricyclics
Incontinence,Oxybutynin,100,1200,leakage;urgency;frequency,dry mouth;constipation,antihistamines;sedatives
Pelvic Inflammatory Disease,Doxycycline,60,720,abdominal pain;fever;discharge,nausea;photosensitivity,antacids;iron
Endometriosis,Leuprolide,250,3000,pelvic pain;heavy periods;infertility,hot flashes;mood swings,antidepressants;antihypertensives
Ovarian Cyst,Oral contraceptives,90,1080,pelvic pain;bloating;irregular periods,nausea;breast tenderness,antibiotics;anticonvulsants
Fibroids,Tranexamic acid,130,1560,heavy bleeding;pelvic pressure;pain,nausea;diarrhea,oral contraceptives;NSAIDs
Menstrual Cramps,Ibuprofen,30,360,lower abdominal pain;fatigue;headache,stomach upset;dizziness,anticoagulants;aspirin
PMS,Fluoxetine,190,2280,mood swings;cramps;fatigue,nausea;insomnia,MAOIs;NSAIDs
Menopause,HRT,200,2400,hot flashes;mood changes;vaginal dryness,nausea;breast tenderness,anticoagulants;thyroid meds
Infertility,Clomiphene,130,1560,irregular cycles;low sperm count;hormonal imbalance,hot flashes;ovarian cysts,tamoxifen;gonadotropins
Ectopic Pregnancy,Surgery,1000,12000,abdominal pain;bleeding;dizziness,none,none
Miscarriage,Supportive care,0,0,bleeding;cramps;emotional distress,none,none
Gestational Diabetes,Insulin,200,2400,high blood sugar;fatigue;thirst,hypoglycemia;weight gain,beta-blockers;alcohol
Preeclampsia,Magnesium sulfate,180,2160,high BP;swelling;headache,flushing;nausea,calcium channel blockers;diuretics
Placenta Previa,C-section,1200,14400,bleeding;abdominal pain;preterm labor,none,none
Preterm Labor,Tocolytics,300,3600,contractions;pelvic pressure;backache,nausea;headache,NSAIDs;antihypertensives
Postpartum Depression,Sertraline,180,2160,sadness;fatigue;loss of interest,nausea;insomnia,MAOIs;NSAIDs
Mastitis,Dicloxacillin,90,1080,breast pain;swelling;fever,nausea;diarrhea,oral contraceptives;warfarin
Breast Engorgement,Cold compress,10,120,swelling;pain;firmness,none,none
Nipple Cracks,Lanolin cream,40,480,pain;bleeding;dryness,skin irritation;allergy,none
Thrush,Nystatin,70,840,white patches;discomfort;itching,nausea;diarrhea,antibiotics;alcohol
Bacterial Vaginosis,Metronidazole,150,1800,discharge;odor;itching,nausea;metallic taste,warfarin;disulfiram
Yeast Infection,Fluconazole,100,1200,itching;discharge;redness,nausea;headache,anticoagulants;statins
Trichomoniasis,Tinidazole,140,1680,discharge;itching;burning,nausea;headache,warfarin;alcohol
Chlamydia,Azithromycin,90,1080,discharge;burning urination;pelvic pain,nausea;diarrhea,antacids;digoxin
